match_id,date,team1,team2,venue,city,toss_winner,toss_decision,winner,match_type,outcome_result
1492884,2025-07-07,Malawi,Bahrain,"TCA Oval, Blantyre",Blantyre,Malawi,bat,Bahrain,T20,completed
1492887,2025-07-10,Tanzania,Bahrain,"TCA Oval, Blantyre",Blantyre,Bahrain,field,Bahrain,T20,completed
1492888,2025-07-10,Malawi,Germany,"TCA Oval, Blantyre",Blantyre,Malawi,bat,Malawi,T20,completed
1492889,2025-07-12,Malawi,Bahrain,"TCA Oval, Blantyre",Blantyre,Malawi,bat,Bahrain,T20,completed
1492890,2025-07-12,Germany,Tanzania,"TCA Oval, Blantyre",Blantyre,Tanzania,field,Tanzania,T20,completed
1492891,2025-07-13,Germany,Malawi,"TCA Oval, Blantyre",Blantyre,Germany,bat,Germany,T20,completed
1492892,2025-07-13,Bahrain,Tanzania,"TCA Oval, Blantyre",Blantyre,Tanzania,field,Tanzania,T20,completed
1494090,2025-07-18,Hong Kong,Malaysia,Singapore National Cricket Ground,Singapore,Malaysia,field,Malaysia,T20,completed
1494091,2025-07-18,Singapore,Samoa,Singapore National Cricket Ground,Singapore,Singapore,bat,Singapore,T20,completed
1494092,2025-07-19,Singapore,Malaysia,Singapore National Cricket Ground,Singapore,Malaysia,field,Malaysia,T20,completed
1494093,2025-07-19,Hong Kong,Samoa,Singapore National Cricket Ground,Singapore,Hong Kong,bat,Hong Kong,T20,completed
1494094,2025-07-20,Hong Kong,Singapore,Singapore National Cricket Ground,Singapore,Singapore,field,Hong Kong,T20,completed
1494095,2025-07-20,Samoa,Malaysia,Singapore National Cricket Ground,Singapore,Samoa,bat,Malaysia,T20,completed
1494096,2025-07-22,Hong Kong,Malaysia,Singapore National Cricket Ground,Singapore,Malaysia,field,Malaysia,T20,completed
1494097,2025-07-22,Samoa,Singapore,Singapore National Cricket Ground,Singapore,Samoa,bat,Singapore,T20,completed
